data,produto,produto_id,classificacao,unidade,menor,comum,maior
"2026-06-08","FILE DE TILAPIA","file-de-tilapia","-","KG",42.72,43.67,44.60
"2026-06-08","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-06-08","PINTADO","pintado","-","KG",26.70,27.20,28.00
"2026-06-08","TAMBAQUI","tambaqui","-","KG",13.30,13.68,14.29
"2026-06-08","TILÁPIA","tilapia","-","KG",12.87,12.98,13.09
"2026-06-08","TRUTA","truta","-","KG",39.00,39.50,40.00
"2026-06-10","FILE DE TILAPIA","file-de-tilapia","-","KG",42.32,43.22,44.17
"2026-06-10","TILÁPIA","tilapia","-","KG",12.29,12.66,13.03
"2026-06-10","TRUTA","truta","-","KG",38.31,39.01,40.00
"2026-06-12","FILE DE TILAPIA","file-de-tilapia","-","KG",42.42,43.32,44.33
"2026-06-12","TILÁPIA","tilapia","-","KG",12.24,12.62,13.00
"2026-06-12","TRUTA","truta","-","KG",38.20,39.00,40.00
"2026-06-15","FILE DE TILAPIA","file-de-tilapia","-","KG",42.93,43.91,44.86
"2026-06-15","PINTADO","pintado","-","KG",27.00,27.50,28.00
"2026-06-15","TAMBAQUI","tambaqui","-","KG",12.88,12.99,13.11
"2026-06-15","TILÁPIA","tilapia","-","KG",12.70,12.93,13.14
"2026-06-15","TRUTA","truta","-","KG",38.20,39.00,40.00
"2026-06-17","FILE DE TILAPIA","file-de-tilapia","-","KG",43.93,44.93,45.93
"2026-06-17","TILÁPIA","tilapia","-","KG",12.87,13.02,13.14
"2026-06-17","TRUTA","truta","-","KG",38.34,39.00,40.00
"2026-06-22","FILE DE TILAPIA","file-de-tilapia","-","KG",42.60,43.47,44.32
"2026-06-22","PINTADO","pintado","-","KG",26.00,27.00,28.00
"2026-06-22","TAMBAQUI","tambaqui","-","KG",12.99,13.20,13.54
"2026-06-22","TILÁPIA","tilapia","-","KG",12.87,13.02,13.15
"2026-06-22","TRUTA","truta","-","KG",38.00,39.00,40.00
"2026-06-24","FILE DE TILAPIA","file-de-tilapia","-","KG",42.91,43.97,45.04
"2026-06-24","TILÁPIA","tilapia","-","KG",12.94,13.23,13.49
"2026-06-26","FILE DE TILAPIA","file-de-tilapia","-","KG",41.45,42.56,43.82
"2026-06-26","PINTADO","pintado","-","KG",26.83,27.67,28.66
"2026-06-26","TAMBAQUI","tambaqui","-","KG",13.86,14.57,15.44
"2026-06-26","TILÁPIA","tilapia","-","KG",12.69,12.80,12.92
"2026-06-26","TRUTA","truta","-","KG",37.00,38.00,39.00
"2026-06-29","FILE DE TILAPIA","file-de-tilapia","-","KG",41.28,41.78,42.29
"2026-06-29","PINTADO","pintado","-","KG",26.67,27.50,28.33
"2026-06-29","TAMBAQUI","tambaqui","-","KG",14.00,14.50,15.00
"2026-06-29","TILÁPIA","tilapia","-","KG",12.17,12.36,12.57
"2026-06-29","TRUTA","truta","-","KG",37.80,37.90,38.00
"2026-07-01","FILE DE TILAPIA","file-de-tilapia","-","KG",41.43,42.76,44.14
"2026-07-01","TILÁPIA","tilapia","-","KG",12.19,12.56,12.90
"2026-07-01","TRUTA","truta","-","KG",38.20,38.44,38.66
"2026-07-03","FILE DE TILAPIA","file-de-tilapia","-","KG",40.83,42.04,43.29
"2026-07-03","PINTADO","pintado","-","KG",24.00,24.50,25.00
"2026-07-03","TAMBAQUI","tambaqui","-","KG",13.48,13.94,14.40
"2026-07-03","TILÁPIA","tilapia","-","KG",12.87,13.00,13.11
"2026-07-03","TRUTA","truta","-","KG",39.00,39.83,40.67
"2026-07-06","FILE DE TILAPIA","file-de-tilapia","-","KG",42.62,43.53,44.44
"2026-07-06","TAMBAQUI","tambaqui","-","KG",14.00,14.50,15.00
"2026-07-06","TILÁPIA","tilapia","-","KG",12.26,12.55,12.75
"2026-07-06","TRUTA","truta","-","KG",40.00,41.00,42.00
"2026-07-08","FILE DE TILAPIA","file-de-tilapia","-","KG",42.11,42.58,43.16
"2026-07-08","TILÁPIA","tilapia","-","KG",12.62,12.76,12.87
"2026-07-08","TRUTA","truta","-","KG",36.07,37.72,40.00
"2026-07-13","FILE DE TILAPIA","file-de-tilapia","-","KG",41.93,42.56,43.19
"2026-07-13","TILÁPIA","tilapia","-","KG",12.61,12.72,12.83
"2026-07-13","TRUTA","truta","-","KG",37.93,38.61,39.28
"2026-07-15","FILE DE TILAPIA","file-de-tilapia","-","KG",39.23,41.41,42.93
"2026-07-15","TILÁPIA","tilapia","-","KG",11.00,12.00,12.53
"2026-07-15","TRUTA","truta","-","KG",30.00,35.00,40.00
"2026-07-17","FILE DE TILAPIA","file-de-tilapia","-","KG",41.42,42.59,43.17
"2026-07-17","PANGASIUS","pangasius","-","KG",8.00,9.00,10.00
"2026-07-17","PINTADO","pintado","-","KG",24.00,25.00,26.00
"2026-07-17","TAMBAQUI","tambaqui","-","KG",11.00,12.00,13.00
"2026-07-17","TILÁPIA","tilapia","-","KG",11.26,11.95,12.32
"2026-07-20","FILE DE TILAPIA","file-de-tilapia","-","KG",42.03,42.75,43.47
"2026-07-20","PANGASIUS","pangasius","-","KG",9.80,9.90,10.00
"2026-07-20","PINTADO","pintado","-","KG",24.00,24.50,25.00
"2026-07-20","TAMBAQUI","tambaqui","-","KG",13.00,13.50,14.00
"2026-07-20","TILÁPIA","tilapia","-","KG",12.22,12.39,12.54
"2026-07-20","TRUTA","truta","-","KG",38.00,39.00,40.00
"2026-07-22","FILE DE TILAPIA","file-de-tilapia","-","KG",42.48,43.04,43.60
"2026-07-22","TILÁPIA","tilapia","-","KG",12.80,12.90,13.00
"2026-07-24","FILE DE TILAPIA","file-de-tilapia","-","KG",41.56,42.01,42.51
