data;categoria;produto;classificacao;unidade_peso;menor;comum;maior;quilo;coletado_em
25/02/2026;PESCADOS;TRUTA;-;KG;38,6;39,6;40,6;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/02/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,31;43,31;43,79;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/02/2026;PESCADOS;TILÁPIA;-;KG;12,75;13,4;13,55;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
27/02/2026;PESCADOS;TRUTA;-;KG;40,34;42,67;43,33;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;43,0;44,01;44,25;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
11/03/2026;PESCADOS;TILÁPIA;-;KG;12,0;13,0;13,0;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;41,05;43,03;43,49;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/03/2026;PESCADOS;PINTADO;-;KG;24,5;26,0;27,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/03/2026;PESCADOS;TAMBAQUI;-;KG;12,42;12,92;13,06;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/03/2026;PESCADOS;TILÁPIA;-;KG;11,68;12,69;12,9;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
13/03/2026;PESCADOS;TRUTA;-;KG;36,35;38,81;40,81;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/03/2026;PESCADOS;FILE DE TILAPIA;-;KG;39,23;40,24;41,15;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/03/2026;PESCADOS;PINTADO;-;KG;25,5;27,0;27,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/03/2026;PESCADOS;TAMBAQUI;-;KG;11,5;12,5;13,5;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/03/2026;PESCADOS;TILÁPIA;-;KG;10,66;11,66;12,66;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
16/03/2026;PESCADOS;TRUTA;-;KG;38,81;39,81;40,81;1,0;importado de Preços Pescado CEAGESP.xlsx (PESCADO) em 04/08/2026 23:50:46
